accountId,customerId,customerType,individualCustomerId,corporateCustomerId,accountNumber,service_type,primaryCurrency,status,openingDate,primaryBankId,primaryBrokerId,primaryCustodianId,glTemplate,dateCreated,createdBy
ACC000001,CUST-000001,Corporate,,11663703,EE187700771001342999,Trading,EUR,Active,2023-01-15,LHV,IBKR,EUROCLEAR,CORP_TRADING,2023-01-15,admin
ACC000002,CUST-000002,Corporate,,14455804,EE902200221068943218,Trading,EUR,Active,2023-02-01,SWED,IBKR,EUROCLEAR,CORP_TRADING,2023-02-01,admin
ACC000003,CUST-000002,Corporate,,14455804,EE902200221068943219,CashOnly,USD,Active,2023-02-01,SWED,,,CORP_CASH,2023-02-01,admin
ACC000004,CUST-000003,Corporate,,14002051,EE087700771001909756,Trading,EUR,Active,2023-02-15,LHV,SAXO,CLEARSTREAM,CORP_TRADING,2023-02-15,admin
ACC000005,CUST-000004,Corporate,,10452393,EE447700771001456789,PrimeBrokerage,EUR,Active,2023-03-01,LHV,GS,EUROCLEAR,CORP_PRIME,2023-03-01,admin
ACC000006,CUST-000005,Individual,39902140821,,EE557700771002345678,Trading,EUR,Active,2023-03-15,LHV,IBKR,EUROCLEAR,IND_TRADING,2023-03-15,admin
ACC000007,CUST-000005,Individual,39902140821,,EE557700771002345679,CashOnly,USD,Active,2023-03-16,LHV,,,IND_CASH,2023-03-16,admin
ACC000008,CUST-000006,Corporate,,11910225,EE332200221234567890,Trading,EUR,Active,2023-04-01,SWED,SAXO,CLEARSTREAM,CORP_TRADING,2023-04-01,admin
ACC000009,CUST-000007,Individual,37612110236,,EE667700771003456789,Trading,EUR,Active,2023-04-15,LHV,IBKR,EUROCLEAR,IND_TRADING,2023-04-15,admin
ACC000010,CUST-000008,Corporate,,12011397,EE447700771004567890,CustodyOnly,EUR,Active,2023-05-01,LHV,,EUROCLEAR,CORP_CUSTODY,2023-05-01,admin
ACC000011,CUST-000009,Individual,38605080281,,EE778800881234567890,Trading,EUR,Active,2023-05-15,SEB,IBKR,CLEARSTREAM,IND_TRADING,2023-05-15,admin
ACC000012,CUST-000010,Corporate,,80205779,EE991100111234567890,CashOnly,EUR,Active,2023-06-01,COOP,,,CORP_CASH,2023-06-01,admin
